date,close,open,max,min,var
01/12/2004,11.14,11.22,11.37,11.07,-0.01
01/01/2005,11.20,11.13,11.44,11.12,0.01
01/02/2005,11.10,11.18,11.23,11.01,-0.01
01/03/2005,11.17,11.10,11.34,10.96,0.01
01/04/2005,11.05,11.18,11.28,10.99,-0.01
01/05/2005,10.88,11.03,11.07,10.86,-0.02
01/06/2005,10.74,10.87,10.92,10.73,-0.01
01/07/2005,10.60,10.74,10.80,10.57,-0.01
01/08/2005,10.76,10.59,10.92,10.56,0.01
01/09/2005,10.76,10.76,10.92,10.64,0.00
01/10/2005,10.79,10.77,10.98,10.66,0.00
01/11/2005,10.56,10.79,10.79,10.55,-0.02
01/12/2005,10.63,10.56,10.80,10.40,0.01
01/01/2006,10.44,10.63,10.67,10.42,-0.02
01/02/2006,10.48,10.45,10.58,10.42,0.00
01/03/2006,10.88,10.49,11.07,10.45,0.04
01/04/2006,11.06,10.89,11.20,10.83,0.02
01/05/2006,11.33,11.06,11.37,10.81,0.02
01/06/2006,11.34,11.33,11.52,11.19,0.00
01/07/2006,10.97,11.35,11.36,10.84,-0.03
01/08/2006,10.91,10.96,11.05,10.74,0.00
01/09/2006,10.98,10.91,11.12,10.83,0.01
01/10/2006,10.76,10.98,11.10,10.68,-0.02
01/11/2006,10.98,10.75,11.12,10.72,0.02
01/12/2006,10.80,10.98,11.05,10.75,-0.02
01/01/2007,11.00,10.80,11.11,10.75,0.02
01/02/2007,11.16,11.00,11.21,10.89,0.01
01/03/2007,11.04,11.17,11.26,10.99,-0.01
01/04/2007,10.97,11.05,11.05,10.91,-0.01
01/05/2007,10.74,10.97,10.98,10.73,-0.02
01/06/2007,10.81,10.74,11.06,10.69,0.01
01/07/2007,10.99,10.80,11.03,10.70,0.02
01/08/2007,11.03,10.99,11.34,10.92,0.00
01/09/2007,10.92,11.03,11.16,10.89,-0.01
01/10/2007,10.65,10.92,10.96,10.64,-0.02
01/11/2007,10.91,10.65,11.03,10.63,0.02
01/12/2007,10.91,10.94,10.97,10.80,0.00
01/01/2008,10.83,10.90,11.02,10.81,-0.01
01/02/2008,10.71,10.82,10.85,10.65,-0.01
01/03/2008,10.64,10.71,10.90,10.63,-0.01
01/04/2008,10.49,10.63,10.65,10.43,-0.01
01/05/2008,10.32,10.49,10.59,10.29,-0.02
01/06/2008,10.31,10.33,10.45,10.26,0.00
01/07/2008,10.04,10.31,10.43,10.00,-0.03
01/08/2008,10.29,10.04,10.31,9.85,0.02
01/09/2008,10.92,10.28,11.06,10.27,0.06
01/10/2008,12.83,10.94,14.34,10.91,0.17
01/11/2008,13.45,12.84,14.19,12.35,0.05
01/12/2008,13.67,13.44,13.95,12.96,0.02
01/01/2009,14.34,13.62,14.46,13.23,0.05
01/02/2009,15.25,14.28,15.28,14.04,0.06
01/03/2009,14.19,15.20,15.60,13.68,-0.07
01/04/2009,13.84,14.16,14.20,12.94,-0.02
01/05/2009,13.13,13.81,13.87,12.82,-0.05
01/06/2009,13.19,13.11,13.71,12.98,0.00
01/07/2009,13.17,13.18,13.85,13.05,0.00
01/08/2009,13.36,13.20,13.37,12.76,0.01
01/09/2009,13.50,13.36,13.80,13.14,0.01
01/10/2009,13.22,13.49,13.82,12.79,-0.02
01/11/2009,12.94,13.20,13.44,12.78,-0.02
01/12/2009,13.06,12.93,13.14,12.48,0.01
01/01/2010,13.10,13.09,13.11,12.57,0.00
01/02/2010,12.77,13.07,13.25,12.73,-0.02
01/03/2010,12.38,12.76,12.78,12.29,-0.03
01/04/2010,12.31,12.37,12.46,12.13,-0.01
01/05/2010,12.93,12.29,13.40,12.24,0.05
01/06/2010,12.94,12.91,13.05,12.41,0.00
01/07/2010,12.65,12.94,13.18,12.61,-0.02
01/08/2010,13.20,12.64,13.27,12.49,0.04
01/09/2010,12.61,13.22,13.24,12.46,-0.04
01/10/2010,12.35,12.59,12.63,12.26,-0.02
01/11/2010,12.49,12.34,12.60,12.16,0.01
01/12/2010,12.36,12.49,12.53,12.28,-0.01
01/01/2011,12.12,12.34,12.37,11.94,-0.02
01/02/2011,12.11,12.12,12.24,11.95,0.00
01/03/2011,11.90,12.11,12.24,11.87,-0.02
01/04/2011,11.50,11.89,11.92,11.49,-0.03
01/05/2011,11.57,11.48,11.79,11.48,0.01
01/06/2011,11.71,11.57,12.02,11.55,0.01
01/07/2011,11.73,11.72,11.96,11.53,0.00
01/08/2011,12.34,11.72,12.77,11.62,0.05
01/09/2011,13.90,12.34,14.14,12.24,0.13
01/10/2011,13.36,13.87,14.11,13.00,-0.04
01/11/2011,13.64,13.37,14.31,13.28,0.02
01/12/2011,13.95,13.63,14.05,13.43,0.02
01/01/2012,13.04,13.93,13.98,12.83,-0.07
01/02/2012,12.85,13.05,13.08,12.62,-0.02
01/03/2012,12.81,12.86,13.05,12.55,0.00
01/04/2012,13.02,12.78,13.28,12.70,0.02
01/05/2012,14.37,13.02,14.38,12.88,0.10
01/06/2012,13.36,14.36,14.60,13.30,-0.07
01/07/2012,13.33,13.27,13.78,13.09,0.00
01/08/2012,13.19,13.33,13.48,13.03,-0.01
01/09/2012,12.86,13.20,13.24,12.70,-0.03
01/10/2012,13.10,12.87,13.11,12.66,0.02
01/11/2012,12.95,13.10,13.30,12.90,-0.01
01/12/2012,12.87,12.95,13.05,12.68,-0.01
01/01/2013,12.71,12.86,12.91,12.55,-0.01
01/02/2013,12.78,12.71,12.90,12.58,0.01
01/03/2013,12.32,12.78,12.87,12.31,-0.04
01/04/2013,12.13,12.34,12.40,12.02,-0.01
01/05/2013,12.81,12.14,12.95,11.94,0.06
01/06/2013,12.95,12.82,13.47,12.61,0.01
01/07/2013,12.73,12.97,13.16,12.43,-0.02
01/08/2013,13.38,12.74,13.40,12.56,0.05
01/09/2013,13.09,13.36,13.47,12.58,-0.02
01/10/2013,13.02,13.09,13.34,12.75,-0.01
01/11/2013,13.10,13.03,13.34,12.85,0.01
01/12/2013,13.04,13.11,13.27,12.80,-0.01
01/01/2014,13.36,13.04,13.61,12.96,0.02
01/02/2014,13.25,13.37,13.56,13.19,-0.01
01/03/2014,13.06,13.30,13.35,13.03,-0.01
01/04/2014,13.08,13.06,13.15,12.94,0.00
01/05/2014,12.86,13.08,13.09,12.83,-0.02
01/06/2014,12.97,12.86,13.12,12.82,0.01
01/07/2014,13.22,12.97,13.25,12.90,0.02
01/08/2014,13.09,13.22,13.34,13.03,-0.01
01/09/2014,13.43,13.09,13.54,13.03,0.03
01/10/2014,13.48,13.43,13.67,13.27,0.00
01/11/2014,13.94,13.46,13.96,13.46,0.03
01/12/2014,14.75,13.93,14.95,13.87,0.06
01/01/2015,14.99,14.76,15.07,14.43,0.02
01/02/2015,14.95,14.97,15.16,14.64,0.00
01/03/2015,15.26,14.94,15.67,14.86,0.02
01/04/2015,15.35,15.27,15.49,14.76,0.01
01/05/2015,15.38,15.35,15.59,14.98,0.00
01/06/2015,15.74,15.37,15.77,15.17,0.02
01/07/2015,16.11,15.73,16.49,15.62,0.02
01/08/2015,16.75,16.10,17.30,16.07,0.04
01/09/2015,16.92,16.75,17.34,16.36,0.01
01/10/2015,16.50,16.93,17.03,16.33,-0.02
01/11/2015,16.57,16.50,16.92,16.35,0.00
01/12/2015,17.18,16.58,17.48,16.47,0.04
01/01/2016,18.11,17.18,18.81,17.18,0.05
01/02/2016,18.14,18.11,19.45,17.96,0.00
01/03/2016,17.28,18.14,18.17,17.09,-0.05
01/04/2016,17.18,17.28,17.96,17.05,-0.01
01/05/2016,18.47,17.18,18.60,17.10,0.08
01/06/2016,18.28,18.47,19.53,18.08,-0.01
01/07/2016,18.75,18.28,18.98,18.11,0.03
01/08/2016,18.79,18.75,19.01,17.90,0.00
01/09/2016,19.39,18.79,19.93,18.26,0.03
01/10/2016,18.86,19.37,19.42,18.45,-0.03
01/11/2016,20.57,18.86,21.40,18.15,0.09
01/12/2016,20.73,20.57,20.88,20.14,0.01
01/01/2017,20.83,20.68,22.04,20.65,0.01
01/02/2017,20.11,20.84,20.85,19.61,-0.03
01/03/2017,18.73,20.11,20.17,18.61,-0.07
01/04/2017,18.82,18.72,19.30,18.46,0.01
01/05/2017,18.62,18.81,19.26,18.34,-0.01
01/06/2017,18.13,18.62,18.82,17.80,-0.03
01/07/2017,17.80,18.14,18.41,17.45,-0.02
01/08/2017,17.89,17.80,18.07,17.57,0.00
01/09/2017,18.26,17.89,18.30,17.60,0.02
01/10/2017,19.15,18.25,19.33,18.14,0.05
01/11/2017,18.63,19.15,19.38,18.44,-0.03
01/12/2017,19.65,18.63,19.92,18.55,0.05
01/01/2018,18.60,19.66,19.67,18.31,-0.05
01/02/2018,18.84,18.60,18.98,18.31,0.01
01/03/2018,18.16,18.84,18.99,18.16,-0.04
01/04/2018,18.71,18.18,19.14,17.93,0.03
01/05/2018,19.91,18.72,20.06,18.69,0.06
01/06/2018,19.92,19.91,20.97,19.57,0.00
01/07/2018,18.65,19.80,20.20,18.50,-0.06
01/08/2018,19.09,18.65,19.38,18.40,0.02
01/09/2018,18.72,19.08,19.70,18.67,-0.02
01/10/2018,20.34,18.72,20.48,18.50,0.09
01/11/2018,20.41,20.34,20.64,19.58,0.00
01/12/2018,19.65,20.40,20.66,19.61,-0.04
01/01/2019,19.11,19.64,19.72,18.87,-0.03
01/02/2019,19.28,19.11,19.48,19.02,0.01
01/03/2019,19.43,19.29,19.63,18.75,0.01
01/04/2019,18.95,19.38,19.39,18.75,-0.02
01/05/2019,19.62,18.95,19.83,18.79,0.04
01/06/2019,19.22,19.61,19.89,18.90,-0.02
01/07/2019,19.13,19.19,19.35,18.87,0.00
01/08/2019,20.07,19.14,20.27,19.12,0.05
01/09/2019,19.73,20.06,20.17,19.32,-0.02
01/10/2019,19.23,19.73,19.87,19.02,-0.03
01/11/2019,19.57,19.23,19.66,19.05,0.02
01/12/2019,18.93,19.53,19.64,18.80,-0.03
01/01/2020,18.84,18.94,19.04,18.65,0.00
01/02/2020,19.62,18.86,19.90,18.52,0.04
01/03/2020,23.72,19.86,25.45,19.16,0.21
01/04/2020,24.17,23.72,25.76,23.25,0.02
01/05/2020,22.18,24.18,24.89,22.00,-0.08
01/06/2020,23.00,22.19,23.23,21.46,0.04
